기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부,비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업시간
A1100016,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",A,종합병원,G006,지역응급의료센터,1,"산부인과 진료시간 기준, 산부인과 응급진료 및 분만은 24시간 가능합니다. 소아청소년과 및 내과는 진료 시간 다르므로 전화 문의 후 내원 바랍니다.","안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료, 약침, 추나치료를 위주로 하고있으며,  그외 여성질환, 자동차보험치료, 피부질환치료, 산후관리, 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani",중계역 1번 출구,인제대학교상계백병원,02-950-1114,02-950-1119,1700,1700,1700,1700,1700,1200,1700,1300,830,830,830,830,830,830,930,900,17,57,127.0631162,37.64858127,15:29.0
A1100033,서울특별시 중구 마른내로 9 (저동2가),A,종합병원,G007,지역응급의료기관,1,"산부인과 진료시간 기준, 산부인과 응급진료 및 분만은 24시간 가능합니다.","안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료, 약침, 추나치료를 위주로 하고있으며,  그외 여성질환, 자동차보험치료, 피부질환치료, 산후관리, 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani",을지로3가역 12번 출구,인제대학교서울백병원,02-2270-0114,02-2270-0119,1700,1700,1700,1700,1700,1200,1300,1300,830,830,830,830,830,900,900,900,45,51,126.9888453,37.56507317,56:06.0
A1122381,서울특별시 성동구 왕십리로 382 (하왕십리동),A,종합병원,G009,응급실운영신고기관,1,도수치료 ~21시까지,9:30~10시 이전은 진료 유동적임.(사전전화요),내방역 7번 출구 인근,재단법인베스티안재단베스티안서울병원,02-3452-7575,02-6211-7965,1800,1800,1800,1800,1800,1300,1500,1500,900,900,900,900,900,900,900,900,47,1,127.0280198,37.56511028,15:30.0
A1100018,"서울특별시 강남구 도곡로 429 (대치동, 베스티안병원 2층일부 제외)",A,종합병원,G009,응급실운영신고기관,1,"지역응급의료기관 취소(자진반납, 2018.06.01.)",보건복지부지정 화상질환 전문병원 및 종합병원 - 응급실에서는 화상진료 및 드레싱위주로 진료합니다. 내과는 진료가능여부 확인 후 방문해주세요,한티역 2번출구,재단법인베스티안재단베스티안서울병원,02-3452-7575,070-7609-9902,1800,1800,1800,1800,1800,1300,1500,1500,900,900,900,900,900,900,900,900,62,8,127.0572671,37.49807127,53:31.0
A1100009,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",A,종합병원,G006,지역응급의료센터,1,공휴일은 응급진료만 가능 토요일 성형외과,9:30~10시 이전은 진료 유동적임.(사전전화요),잠실나루역 셔틀버스,재단법인아산사회복지재단서울아산병원,02-3010-3114,02-3010-3333,1730,1730,1730,1730,1730,1300,1500,1500,830,830,830,830,830,900,900,900,55,5,127.1082383,37.52656397,15:30.0
A1100003,서울특별시 동작구 흑석로 102 (흑석동),A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,점심시간 1~2시 공휴일은 전화 확인 후 방문,지하철 9호선 흑석역 4번 출구에서 도보 3분,중앙대학교병원,1800-1114,02-6299-1338,1630,1630,1630,1630,1630,1200,1300,1900,830,830,830,830,830,830,900,900,69,73,126.9607938,37.50707428,15:31.0
A1100057,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",A,종합병원,G009,응급실운영신고기관,1,당직의사 부재로 휴일 접수 불가 ( 부인과 재진만 가능),#NAME?,"언주역 5, 6번 출구",차의과학대학교강남차병원,02-3468-3000,02-3468-3060,1730,1730,1730,1730,1730,1230,1230,1400,830,830,830,830,830,830,830,900,61,35,127.0346687,37.50680003,15:31.0
A1117070,"서울특별시 은평구 서오릉로 45, 최원호병원 (녹번동)",B,병원,G009,응급실운영신고기관,1,점심시간 12:30 ~ 13:30,"바른진료, 책임치료를 지향하는 최원호병원입니다. 100여명의 직원과 지하3층, 지상9층의 100병상규모의 정형외과 중점 병원으로 척추, 관절, 내과 중심으로 양질의 의료서비스를 제공하며,  쾌적한 공간의 종합검진센터, 스포츠재활실, 물리치료실을 운영 중입니다.",6호선 역촌역 4번출구 전방 100M,최원호병원,02-1588-3797,02-3156-8119,1800,1800,1800,1800,1800,1300,1400,1400,900,900,900,900,900,900,1000,1000,34,59,126.9238558,37.60476959,15:32.0
A1100012,서울특별시 서초구 반포대로 222 (반포동),A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,"오직 흉터제거, 치료만을 전문으로 하는 흉터 전문 병원입니다. 켈로이드흉터, 비후성반흔, 화상흉터 등 모든 종류의 흉터제거수술을 하고 있으며, 큰점제거수술도 집도하고 있습니다.  성형외과 전문의입니다.  이벤트 등을 통한 호객행위를 하지 않습니다. 항상 정직하고 양심적으로 고객을 대하도록 하고 있습니다.",고속터미널역 3번 출구,학교법인가톨릭학원가톨릭대학교서울성모병원,215881511,02-2258-2370,1700,1700,1700,1700,1700,1200,2100,1300,800,800,800,800,800,800,900,900,65,91,127.0047273,37.5018008,15:34.0
A1100008,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",A,종합병원,G001,권역응급의료센터,1,점심시간 13:00~14:00,"오직 흉터제거, 치료만을 전문으로 하는 흉터 전문 병원입니다. 켈로이드흉터, 비후성반흔, 화상흉터 등 모든 종류의 흉터제거수술을 하고 있으며, 큰점제거수술도 집도하고 있습니다.  성형외과 전문의입니다.  이벤트 등을 통한 호객행위를 하지 않습니다. 항상 정직하고 양심적으로 고객을 대하도록 하고 있습니다.",지하철 6호선 안암역 하차 후 1번출구 도보 500m,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),1577-0083,02-920-5374,1730,1730,1730,1730,1730,1200,2100,1300,830,830,830,830,830,800,900,900,28,41,127.0264709,37.58715608,15:34.0
A1100163,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",B,병원,G009,응급실운영신고기관,1,"※ 365일 휴일없이 화상 및 외상치료가 필요한 분들이라면 언제든지 한강수병원에서 진료받을 수 있습니다.  **화상외상센터** [야간, 주말, 공휴일 외래연장진료] - 평일 야간진료 : 19:00~20:00 - 토요 연장진료 : 14:00~16:00 - 일요일/공휴일 외래진료 : 09:00~13:00  [365일 24시간 응급실 운영] *전문의 상주 *외래진료 및 응급실 별도 운영  진료예약 및 문의 : ☎ 1800-7119","한강수병원은 국내최초 성형외과 전문의가 주축이 되어 만든 화상특화병원으로 화상외상센터, 흉터성형센터, 상처치료센터, 재활클리닉 등을 운영하고 있다.  전문의료진이 다년간 쌓아온 화상, 외상, 상처치료 노하우로 진료하고 있으며 이후 발생할 수 있는 흉터까지 통합적이고 체계적인 치료서비스를 제공하고 있다.",양남사거리 인근,한강수병원,02-1800-7119,02-2063-8413,1800,1800,1800,1800,1800,1300,1300,1300,900,900,900,900,900,900,900,900,72,62,126.8909137,37.52240478,15:34.0
A1100053,서울특별시 강동구 진황도로61길 53 (둔촌동),A,종합병원,G006,지역응급의료센터,1,외래진료없이 입원상담만 진행함,한국공항공사 서울지역본부 구조소방센터 입니다.,9호선 중앙보훈병원역 2번 출구,한국보훈복지의료공단중앙보훈병원,02-2225-1111,02-2225-1100,1730,1730,1730,1730,1730,1100,1300,1300,900,900,900,900,900,800,900,900,53,68,127.1467189,37.5282209,15:34.0
A1100027,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",A,종합병원,G007,지역응급의료기관,1,휴게시간 13:00-14:00 일요일 및 공휴일 휴진 오시기 전에 미리 전화로 진료예약 하시기 바랍니다.,영상의학과,공릉역 2번 출구 도보 10분,한국원자력의학원원자력병원,02-970-2114,02-970-2620,1630,1630,1630,1630,1630,1300,1300,1300,830,830,830,830,830,900,900,900,18,12,127.0826932,37.62881598,15:34.0
A1100055,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",A,종합병원,G006,지역응급의료센터,1,"점심시간 13:00~14:00 9/16-9/18, 9/20-9/23 휴무",점심 12:30~13:30,대림삼거리 인근,한림대학교강남성심병원,02-829-5114,02-829-5119,1630,1630,1630,1630,1630,1200,1500,1500,830,830,830,830,830,830,1000,1000,74,41,126.9086725,37.49324929,15:34.0
A1100038,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",A,종합병원,G009,응급실운영신고기관,1,진료과에따라 상이함(연락 후 내원 바람),점심 12:30~13:30,서울특별시 영등포구 버드나루로7길 12 (영등포동 7가 94-200),한림대학교한강성심병원,02-2639-5114,02-2639-5555,1630,1630,1630,1630,1630,1200,1500,1500,900,900,900,900,900,830,1000,1000,72,47,126.91033,37.52346675,15:34.0
A1100013,서울특별시 성동구 왕십리로 222-1 (사근동),A,종합병원,G001,권역응급의료센터,1,휴게시간 13:00~14:00,관절염/류마티스 전문/,"한양대역 1번 출구 왕십리역:6번,13번 출구->650M(도보10분) 왕십리역:6-1번 출구->셔틀버스2,3,4호차 이용",한양대학교병원,02-2290-8114,02-2290-8284,1730,1730,1730,1730,1730,1230,1330,1300,830,830,830,830,830,830,930,900,47,63,127.0448828,37.55994453,15:34.0
A1100051,서울특별시 광진구 자양로 85 (자양동),A,종합병원,G007,지역응급의료기관,1,휴게시간 13:00~14:00(토요일 제외) 일요일 및 공휴일 휴진,24시간 전문의 진료가 가능한 서울 동북부 지역 거점병원입니다.,2호선 구의역 4번출구 직진방향 5분 거리,혜민병원,02-2049-9000,02-2049-9119,1730,1730,1730,1730,1730,1220,1300,1300,830,830,830,830,830,830,900,900,50,56,127.0836013,37.53531566,15:35.0
A1100019,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",A,종합병원,G007,지역응급의료기관,1,토요일은 격주근무로 내원전 휴진여부 확인이 필요합니다.,후두내시경O/수액처치O,목동역 2번 출구,홍익병원,02-2693-5555,02-2600-0777,1800,1700,1700,1700,1700,1300,1400,1630,900,900,900,900,900,900,900,1030,79,37,126.863664,37.52844147,15:35.0
A1100049,서울특별시 금천구 시흥대로 244 (시흥동),A,종합병원,G007,지역응급의료기관,1,휴게시간 13:00~14:00,이비인후과는 토요일 휴진,금천구청역 1번 출구,희명병원,02-804-0002,02-809-0122,1730,1730,1730,1730,1730,1230,1700,1400,830,830,830,830,830,830,1000,1000,86,26,126.9005625,37.45567063,15:36.0
